,LSTM_5,LSTM_30,Conv1D_LSTM_30,LSTM_90,Conv1D_LSTM_90,LSTM_180,Conv1D_LSTM_180
2023-04-05,28141.335791608086,28167.68018019665,28180.937161414884,28230.41578812478,28228.78384970734,28210.224747581407,28207.283228952438
2023-04-06,28151.66096418444,28178.253101199865,28188.246356757358,28240.473293701187,28238.299970559776,28220.41288288124,28217.188168482855
2023-04-07,28019.78932376951,28042.758244019933,28052.187519846484,28102.26080236025,28103.755177929997,28086.782147129998,28083.15820279531
2023-04-08,27899.33206433896,27921.315260166302,27930.599902123213,27975.781386755407,27984.769745767117,27968.81707303226,27964.71238908358
2023-04-09,27913.334136870573,27940.90176538308,27949.86386831361,27987.464720980497,28006.15187166352,27991.32608800521,27986.67845470109
2023-04-10,28293.102656589122,28326.64861085941,28335.175268285442,28376.280208223965,28391.5636801403,28377.749448065646,28372.473694887012
2023-04-11,29613.239234814653,29652.80549066863,29656.75928832544,29719.889259137213,29713.38148847455,29700.41190098878,29694.23994684592
2023-04-12,30217.0659288764,30238.482678611763,30238.107831426896,30308.510620484594,30295.67210440291,30284.091488970444,30277.127981651574
2023-04-13,30129.961014635046,30139.322198504815,30143.051582061453,30214.244005158544,30198.395921470365,30188.573055724846,30180.992131539388
2023-04-14,30404.93342119595,30398.129640738247,30400.313011031598,30474.678059645463,30457.64958328288,30449.26036796486,30441.367620248813
2023-04-15,30499.57087825751,30480.700406160904,30488.21770448191,30567.442796770018,30543.093800516333,30536.039859959856,30528.124619088136
2023-04-16,30309.03038248187,30320.126118867192,30318.532236213796,30402.848990003113,30374.412099488545,30368.81363184657,30360.692420231644
2023-04-17,30295.088874641806,30315.12237400678,30317.36116770329,30398.633534839377,30370.062262902968,30366.105073076207,30357.54742420884
2023-04-18,29428.099803643185,29434.74797638913,29444.005925500765,29532.074908708688,29497.19130746834,29494.82899476611,29486.025606568204
2023-04-19,30377.17864605796,30385.538454283378,30397.025490293163,30469.48622075678,30450.49818646931,30449.483558682958,30439.86271306593
2023-04-20,28812.49730548216,28807.989363789093,28820.37417768594,28900.31798818335,28872.20176343154,28872.359816265292,28862.797619823366
2023-04-21,28246.87385069346,28232.292259534122,28245.10944617493,28303.71865428472,28293.543023645412,28294.984178481158,28285.30689110281
2023-04-22,27290.241966681555,27269.211848641047,27275.10385851958,27308.025301132817,27322.29358995566,27324.335633114446,27314.883054352365
2023-04-23,27816.39076307416,27815.510337352753,27818.196381926537,27833.506835997105,27863.23571205139,27865.67636489868,27856.222151219845
2023-04-24,27594.897577158175,27586.967438013526,27591.861692284467,27596.913825725438,27636.206004166743,27638.63997470471,27629.79216288426
2023-04-25,27522.719744698377,27521.77473715064,27526.26516364049,27532.32568079559,27569.833949122578,27571.645213589072,27563.65858730022
2023-04-26,28289.734589076834,28307.749510037247,28309.96320080245,28329.025912894867,28352.978316936642,28354.152652891353,28347.002026776318
2023-04-27,28411.245498578297,28429.904591404367,28425.479536886327,28450.99305949034,28468.12066331017,28468.46965306159,28462.2657672863
2023-04-28,29462.232802759507,29487.096433826722,29477.694176109508,29525.074387363857,29520.66488309065,29519.30865309108,29514.81131008733
2023-04-29,29329.294894383056,29349.5864050081,29347.155550938565,29387.563690600917,29386.79770924663,29384.160494903568,29381.096569486428
2023-04-30,29227.467018145602,29250.932451997418,29257.557165863458,29297.16946809087,29294.589316374622,29291.514054464176,29289.191917919554
2023-05-01,29247.967909376486,29269.124149966752,29278.08768292237,29320.54670687602,29315.0548419978,29311.757629602682,29309.538553324062
2023-05-02,28076.86890753347,28087.611780641484,28103.952132677194,28135.182816781104,28136.009964430006,28133.073087960016,28130.658620531438
2023-05-03,28660.223201366025,28678.302801728132,28692.438601217,28719.66740932665,28725.835260887397,28723.517188072437,28720.44351925142
2023-05-04,28982.470372742973,29005.48217442585,29020.862564190757,29054.99817744596,29052.15930604376,29050.60674421722,29046.668285597116
2023-05-05,28827.02930193208,28844.689850561786,28860.95763856545,28895.25737803243,28893.359096882865,28892.67131385766,28887.846515935846
2023-05-06,29510.959302301635,29534.185841949075,29552.34070805367,29592.523290590616,29581.137110627024,29581.40468937694,29575.475707602454
2023-05-07,28883.979860702297,28902.037049341598,28919.305172777502,28955.63318342995,28950.519765255973,28951.0676314889,28944.84125235118
2023-05-08,28435.292476199218,28446.756070623174,28473.825010851957,28494.835664458107,28500.307118166005,28501.070340164937,28494.584649222903
2023-05-09,27688.46955052577,27683.32099436177,27711.35825837124,27726.00003239326,27738.58502508141,27739.430187234655,27732.87027630303
