date,cost-per-transaction-percent_x,cost-per-transaction-percent_y,hash-rate,n-transactions-excluding-popular,difficulty,mempool-size,blocks-size,avg-confirmation-time,output-volume,avg-block-size,market-price,market-cap,n-unique-addresses,mempool-count,mempool-growth,n-transactions-total,miners-revenue,n-transactions-per-block,estimated-transaction-volume,median-confirmation-time,n-transactions,estimated-transaction-volume-usd,cost-per-transaction
2014-07-06,9.12851369274839,9.12851369274839,124571.487177873,52139.0,16818461371.1611,,20712.081951,,373704.721600211,0.23248738028169,631.0,8193535000.0,163144.0,,,41992780.0,2561839.04560687,367.176056338028,44475.66086246,7.85,52139.0,28064142.0042123,45.431538874725
2014-07-07,4.49739751373387,4.49739751373387,116210.984682714,64686.0,16818461371.1611,,20745.361685,,470317.610428958,0.254280333333333,633.74,8231363677.0,159811.0,,,42045356.0,2796222.36803611,431.24,98106.84521473,8.16666666666667,64686.0,62174232.086383,39.5382252769451
2014-07-08,5.71271253477358,5.71271253477358,135440.140421581,70117.0,16818461371.1611,,20783.745615,,368883.947238495,0.285394313333333,624.35,8111742505.0,184360.0,,,42110403.0,2661544.47118273,467.446666666667,74621.37379925,7.1,70117.0,46589854.7315617,36.1588499895761
2014-07-09,5.23763967242693,5.23763967242693,132931.989673033,68518.0,16818461371.1611,,20826.554853,,467382.069264812,0.256588240963855,624.97,8122141368.5,157335.0,,,42180575.0,3132903.82917889,412.759036144578,95708.8890944499,7.4,68518.0,59815184.4173584,41.4454608244221
2014-07-10,5.02956824499675,5.02956824499675,128751.738425453,64605.0,16818461371.1611,,20869.116525,,517645.023803858,0.253822691275168,621.95,8085474390.0,147432.0,,,42249119.0,3133288.01651803,433.590604026846,100164.57212886,7.81666666666667,64605.0,62297355.6355444,41.8122958821148
2014-07-11,6.15199605709486,6.15199605709486,125407.537427389,59077.0,16818461371.1611,,20906.272587,,423733.297699035,0.233474307692308,616.8,8020836360.0,145271.0,,,42312577.0,2721173.49560002,378.698717948718,71712.65783781,7.8,59077.0,44232367.3543612,42.2470307183558
2014-07-12,8.60239292182814,8.60239292182814,137948.291170128,53454.0,16818461371.1611,,20942.678551,,469369.133509933,0.193903025477707,634.0,8247008600.0,134802.0,,,42371619.0,3223823.83970348,340.471337579618,59110.24632829,6.28333333333333,53454.0,37475896.1721359,53.0609450714071
2014-07-13,6.37110233667762,6.37110233667762,132716.120673498,52417.0,17336316978.5078,,20973.579071,,482605.806623357,0.21288565,636.18,8277815115.0,168917.0,,,42425727.0,2964897.50723038,327.60625,73150.1282869101,7.41666666666667,52417.0,46536648.6135664,51.0643365235504
2014-07-14,5.08527908719687,5.08527908719687,124959.983751021,62761.0,17336316978.5078,,21007.206882,,508730.206581382,0.263035459259259,630.43,8205519272.5,138366.0,,,42477556.0,2324693.38813598,464.896296296296,72512.68996905,6.96666666666667,62761.0,45714175.1371882,34.8211289246114
2014-07-15,6.26899808120641,6.26899808120641,118927.432811316,72316.0,17336316978.5078,,21043.004269,,564831.830035056,0.258661333333333,621.21,8087610641.25,154269.0,,,42541213.0,3161553.82092972,454.817610062893,81182.79593237,8.4,72316.0,50431564.6611476,38.1659623227509
2014-07-16,3.74352808838871,3.74352808838871,142195.843578748,65571.0,17336316978.5078,,21083.957375,,602509.236479178,0.259492319444444,624.07,8127326017.0,144076.0,,,42612780.0,2629605.79883141,455.354166666667,112557.96867905,6.75,65571.0,70244051.5135347,36.686372371319
2014-07-17,6.08954255382947,6.08954255382947,147366.601527066,66233.0,17336316978.5078,,21121.696352,,468015.248901458,0.226245488372093,617.41,8042814847.0,147920.0,,,42678822.0,3002451.26742862,385.075581395349,79857.8545126,6.46666666666667,66233.0,49305037.9546244,41.5179178813919
