date,Cost % of Transaction Volume,Hash Rate,Number of Transactions Excluding Popular Addresses,Difficulty,Mempool Size,Blockchain Size,Average Confirmation Time,Output Value,Average Block Size,Market Price (USD),Market Capitalization,Number Of Unique Addresses Used,Mempool Transaction Count,Mempool Size Growth,Total Number of Transactions,Miners Revenue,Average Number Of Transactions Per Block,Estimated Transaction Value,Median Confirmation Time,Confirmed Transactions Per Day,Estimated USD Transaction Value,Cost per Transaction
2023-01-16,0.9568887334108312,274688843.2470833,302336.0,37590453655497.0,1904295.0,448715.309601,18.44827327258938,828838.3479693823,1.260744619047619,20880.99,403126218150.0,677371.0,1809.5,841.9666666666667,796552123.0,19564851.90352845,2059.891156462585,97089.10536518,6.983333333333333,302804.0,2044631859.525559,64.61226372019011
2023-01-17,0.7816590265599846,291506527.527517,308257.0,37590453655497.0,3824533.0,448900.313026,21.513992420842843,1006166.2339713434,1.2421233589743588,21190.49,408346824393.75,680259.0,4249.0,1779.8333333333333,796852917.0,20950317.64546699,1978.9423076923076,126112.2576408999,7.933333333333334,308715.0,2680237409.611653,67.86297279195048
2023-01-18,0.7898864154628781,261608422.14007932,299560.0,37590453655497.0,2752828.0,449094.198907,19.588117967823163,900026.6785086121,1.339286907142856,21145.18,407192305500.0,681758.0,3676.0,1859.9166666666667,797163078.0,19114033.153556455,2143.1785714285716,114652.69117420004,7.345833333333333,300045.0,2419845787.872617,62.37650737054614
2023-01-19,0.7344574961787321,270951580.07365364,298481.0,37590453655497.0,12073582.0,449281.598859,35.58817816226098,814820.2785567177,1.2959688896551729,20672.78,398502468625.0,684950.0,8434.5,1532.9333333333334,797461667.0,19225531.96710288,2061.5103448275863,125581.27716118,7.633333333333334,298919.0,2617650724.123632,64.31686164848296
2023-01-20,0.7044330797223951,246659369.44636056,295338.0,37590453655497.0,1233158.5,449469.492376,20.35623680519596,827030.5738233835,1.293477098484848,21087.76,406150995000.0,702080.0,833.5,927.8166666666668,797760662.0,18240061.154305376,2241.0757575757575,120804.26742365002,9.075,295822.0,2589324902.4440293,60.50433763664141
2023-01-21,0.821048320911788,257871158.96664968,287424.0,37590453655497.0,5502820.5,449640.285594,24.51133412164921,838929.5034871416,1.177075246376812,22693.45,436804426500.0,676478.0,10183.0,1240.1333333333334,798056938.0,20109654.849325083,2085.942028985507,107067.8328077301,8.3125,287860.0,2449265693.2777076,69.85914975795555
2023-01-22,1.656405028241771,282163369.59394276,250363.0,37590453655497.0,5494718.5,449802.739599,14.217393423000011,650097.114125325,1.1015247947019866,22772.5,440080408687.5,610248.0,9985.0,997.7166666666668,798345709.0,21838359.94420077,1660.6622516556292,57851.225409219995,5.966666666666667,250760.0,1318419080.5905485,87.08869015872057
2023-01-23,0.9790562837886596,295243790.7009466,293258.0,37590453655497.0,3442174.5,449969.199861,13.75066455406122,848769.1028921938,1.1005096139240504,22724.23,437172960043.75,651866.0,4836.5,739.9833333333333,798597007.0,22867527.707946565,1858.9177215189873,102289.69661007002,6.383333333333333,293709.0,2335670388.5762277,77.85776979236783
2023-01-24,0.93249323931198,241053474.68621597,292505.0,37590453655497.0,2329327.0,450143.10976,23.271411603149943,759210.1265135878,1.3420454263565889,22924.37,442706796168.75,660507.0,1875.0,893.6166666666667,798890639.0,18918440.50491401,2271.0852713178297,88402.48924632002,8.116666666666667,292970.0,2028801894.4644115,64.57466807152272
2023-01-25,0.8589334843130417,327010527.67509925,306213.0,37590453655497.0,1832920.0,450316.081276,9.56249786609562,847506.3279130658,1.0009242571428576,22634.47,436057361850.0,687864.0,2347.0,1257.8166666666666,799182569.0,25676773.61340148,1752.462857142857,131611.20186235997,5.033333333333333,306681.0,2989378581.9675274,82.28838400110719
2023-01-26,0.9473636534043102,289637895.9408021,295782.0,37590453655497.0,2766438.0,450491.337141,11.687915664534872,784070.9508340667,1.1061077999999993,23089.74,444311529012.5,669489.0,1479.5,1024.2666666666669,799488687.0,22624571.705655094,1911.374193548387,103585.85647469004,6.35,296263.0,2388161254.0606427,76.36651119328128
2023-01-27,0.8897097575949534,287769264.3540873,302720.0,37590453655497.0,1057387.5,450662.722284,19.62850758537506,789086.1864345849,1.1416405779220786,23008.29,443370181950.0,699439.0,898.5,993.9666666666668,799785583.0,22429274.151801877,1968.6948051948052,109562.15097171,6.883333333333333,303179.0,2520965287.8745837,73.98030256647682
2023-01-28,2.1784259280966607,313930106.5680952,268449.0,37590453655497.0,4272427.0,450838.557584,9.54171662681519,517435.0475324572,0.9601554166666668,23075.81,444606621525.0,637939.0,5243.5,969.75,800089575.0,24442485.75123782,1600.2916666666667,48692.77898292004,4.7,268849.0,1122025102.4368668,90.91529353368551
2023-01-29,2.3649644810447596,311001352.7915209,258152.0,38858880377385.3,2177821.0,450999.764028,7.685289191589685,573135.4241984705,0.9890340559006204,23032.23,443898368125.0,616633.0,5224.0,1237.0666666666666,800357660.0,23801445.138934355,1606.1055900621118,42823.67840651001,4.616666666666666,258583.0,1006418714.940687,92.04566865932546
2023-01-30,0.7919970909729714,269948142.5149194,309413.0,39350942467773.0,1980165.0,451159.030651,20.068566544304986,924370.823439952,1.331806333333333,23755.85,457742885662.5,667280.0,1629.0,1152.5333333333333,800615901.0,20350898.923218135,2245.717391304348,110658.59796069,7.8916666666666675,309909.0,2569567382.907553,65.66733758367177
2023-01-31,0.5703307774244976,224956785.42909947,313025.0,39350942467773.0,5718412.0,451342.89936,33.567125807852044,908323.2859659084,1.5394536000000008,22836.09,439218417600.0,709466.0,9375.0,1015.45,800926516.0,16954037.602669094,2726.086956521739,129281.49819166996,11.716666666666669,313500.0,2972667489.42258,54.079864761304925
2023-02-01,0.7086463983479734,267991996.55466637,345051.0,39350942467773.0,11577084.5,451519.923746,54.87425444152491,911899.7637717148,1.5758903795620436,23133.91,445037535562.5,745886.0,19897.5,1766.4833333333331,801240421.0,20346134.427086793,2522.3430656934306,123956.47426217998,9.116666666666667,345561.0,2871126484.8757524,58.87856102710315
2023-02-02,0.9402088547925292,283641164.23669064,339647.0,39350942467773.0,4887275.5,451735.71984,31.409084814316312,776455.8471580569,1.4260836068965514,23722.02,457357347956.25,752262.0,7067.0,2134.45,801584885.0,22100256.867046896,2345.993103448276,98632.52594629,7.983333333333333,340169.0,2350568892.687534,64.96846234385525
2023-02-03,0.7133947040671481,260167412.7136542,315497.0,39350942467773.0,3060132.5,451942.584438,25.646801763814384,809822.7737551205,1.4617055563909778,23454.41,452905892725.0,738211.0,3933.0,1619.8333333333333,801925270.0,20380037.06304123,2375.5714285714284,121686.27139222994,10.216666666666669,315951.0,2856768763.049713,63.265319812257026
2023-02-04,1.2927249131013234,266035850.5944133,304094.0,39350942467773.0,14800679.0,452136.739806,43.69632557764362,507403.12963310286,1.7588637720588232,23440.09,451247989475.0,691143.0,22474.5,1418.6833333333334,802240108.0,20355870.134656116,2238.9338235294117,67285.20462452,8.875,304495.0,1574648243.2848904,66.85124594707997
2023-02-05,2.507022797437742,297334185.95846194,253717.0,39350942467773.0,2926956.0,452376.824419,12.51389383312802,540584.5652039285,1.6290970592105256,23328.24,449551815468.75,594717.0,848.5,2025.4,802545870.0,22388253.779740416,1671.796052631579,38551.62263916,5.5625,254113.0,893021547.4156011,88.10353574882204
2023-02-06,1.139246057540065,289509602.11744976,301511.0,39350942467773.0,9699904.0,452623.67788,30.066214477611513,671736.8866659637,2.203473168918918,22936.95,443596356781.25,663760.0,8627.0,2401.8166666666666,802799096.0,21621117.121486917,2040.3851351351352,82775.37014625002,7.066666666666666,301977.0,1897844366.3147411,71.59855592143414
2023-02-07,1.0374096569754083,277772726.3559315,299954.0,39350942467773.0,32426420.5,452950.05134,47.44368218107066,630915.6804094125,2.142792676056337,22763.74,439818780750.0,688379.0,19993.0,1706.1166666666666,803102433.0,21204357.623230755,2115.6971830985917,88943.52774630999,7.816666666666666,300429.0,2043971490.014132,70.19799587251339
2023-02-08,1.0059080071012128,269948142.5149194,316482.0,39350942467773.0,46007179.5,453254.267213,90.9983374158189,659626.1379652941,2.108701760869565,23254.79,448054185237.5,682912.0,22768.0,984.7666666666668,803403182.0,20351657.38350813,2296.8333333333335,87539.81756650005,9.291666666666668,316963.0,2023212584.0370593,64.20830628025395
2023-02-09,0.8891435119351776,316895645.5609923,369017.0,39350942467773.0,50646369.5,453545.342372,36.83166870302244,828184.7830230664,2.1439365370370354,22964.87,442732201656.25,783722.0,15956.5,1395.1833333333334,803720433.0,23332309.14710399,2280.858024691358,116057.74646337995,7.195833333333333,369499.0,2624133093.6917434,63.145797815701776
2023-02-10,0.7291092649369175,287553456.1571967,299626.0,39350942467773.0,56380262.5,453892.558948,40.740527463973805,1382005.017688827,2.0646328843537427,21794.05,420441203750.0,700869.0,19454.0,2204.55,804088128.0,20573391.75123331,2041.442176870748,129629.39050036,7.85,300092.0,2821715858.049523,68.55694837327655
