date,avg-block-size,avg-confirmation-time,blocks-size,cost-per-transaction-percent,cost-per-transaction,difficulty,estimated-transaction-volume-usd,estimated-transaction-volume,hash-rate,market-cap,market-price,median-confirmation-time,mempool-count,mempool-growth,mempool-size,miners-revenue,n-transactions-excluding-popular,n-transactions-per-block,n-transactions-total,n-transactions,n-unique-addresses,output-volume,total-bitcoins,trade-volume,transaction-fees-usd,transaction-fees,transactions-per-second
2014-05-17,0.189017300578035,,18877.440701,11.3824905735317,39.0941830768492,8853416309.1278,25006216.0727361,55678.25096352,80539.3452722289,5739793547.238095,449.12,7.1,,,,2846330.18727616,53511.0,309.312138728324,38912155.0,53511.0,109902.0,486627.924862174,12780088.94557823,1604427.3056,5646.1872761616,9.31030062,
2014-05-18,0.185464156976744,,18910.240117,10.1497631620666,41.9474754941751,8853416309.1278,26349415.300663,58729.13854737,67776.2796279959,5735812376.582237,448.66,7.18333333333333,,,,2674403.24760663,49912.0,290.186046511628,38965893.0,49912.0,151253.0,273970.039068218,12784318.585526315,1072813.359,4876.24760662881,8.71450665,
2014-05-19,0.240639095238095,,18942.23741,4.89523176429319,31.2298520878356,8853416309.1278,57202469.5138821,128001.22964014,77898.7110010083,5715101255.668403,446.89,6.53333333333333,,,,2800193.45760369,64094.0,381.511904761905,39015820.0,64094.0,137175.0,529418.786190444,12788608.506944444,1116943.4593,7130.95760368671,11.40509824,
2014-05-20,0.248944480225989,,18982.468007,3.41614986945691,29.6621515676168,8853416309.1278,71346674.6278021,159248.8608272,78778.9224247485,5731519025.180124,448.02,6.83333333333333,,,,2437309.33215951,71520.0,404.067796610169,39079693.0,71520.0,162024.0,1500132.13561312,12792998.136645963,2114654.4,6800.8321595052,13.38509866,
2014-05-21,0.236798091428571,,19026.582427,5.232675416067,33.8273834795285,8853416309.1278,51208384.1343616,104909.41599271,78338.8167128784,6246658306.535484,488.12,6.53333333333333,,,,2679568.52756389,68905.0,393.742857142857,39151200.0,68905.0,131323.0,724297.923576834,12797382.41935484,13758716.5392,7111.5275638948,12.79533682,
2014-05-22,0.24477488372093,,19068.0716,4.3730705200887,31.7614790282095,8853416309.1278,58329636.5909688,118083.35848527,73497.6538823072,6323691538.227707,493.97,7.45,,,,2550796.14223453,73343.0,426.412790697674,39220681.0,73343.0,137973.0,773918.640208564,12801772.452229299,3521976.4618,6850.6422345285,12.75997199,
2014-05-23,0.251024818181818,,19110.10875,3.33283327485892,30.6230241346856,8853416309.1278,73534768.8409876,139186.0403562,69536.7024754763,6765644330.0,528.32,6.93333333333333,,,,2450791.24452302,72810.0,441.272727272727,39293440.0,72810.0,150893.0,1247509.85330439,12805959.134615384,9098536.8448,7311.244523024,12.72896008,
2014-05-24,0.192923597402597,,19151.591823,1.32881373937051,38.9375706275775,10455720138.4848,176966615.654146,339602.02581874,87319.120099013,6675250816.584507,521.1,7.35,,,,2351556.70291129,52872.0,343.324675324675,39366798.0,52872.0,103212.0,915433.549230091,12809922.887323944,10289145.555,6606.702911286,11.23540029,
2014-05-25,0.219349217391304,,19181.201977,3.22457303764928,40.15559145101,10455720138.4848,83279403.1002615,157753.0319567,78483.2567556605,6764553976.985915,527.91,8.46666666666667,,,,2685405.17828629,57566.0,357.552795031056,39419441.0,57566.0,165704.0,841110.023738244,12813839.436619718,2968812.7461,6261.9282862905,10.14448351,
2014-05-26,0.249870411392405,,19216.617105,4.05435798960788,35.1894909824371,10455720138.4848,65562631.0415776,115036.28698538,87838.876766269,7305253961.981034,569.93,7.38333333333333,,,,2658143.76983134,67007.0,424.094936708861,39476803.0,67007.0,143041.0,760758.626328056,12817809.137931034,11276874.3506,7969.2698313362,12.57750285,
